L1,,L2,,L3,,L4,,L5
West Coast Pier,9:0,West Coast Pier,9:0,West Coast Pier,9:0,Marina South Pier,9:0,Marina South Pier,9:0,
West Coast Pier,9:0,West Coast Pier,9:0,West Coast Pier,9:0,Marina South Pier,9:0,Marina South Pier,9:0,Z22,9:45,Z28,9:43,,,Z11,9:19,Z04,9:54,
Z22,9:45,Z28,9:43,,,Z11,9:19,Z04,9:54,Z23,9:56,Z27,9:58,,,Z08,9:37,Z03,10:0,
Z23,9:56,Z27,9:58,,,Z08,9:37,Z03,10:0,Z25,10:10,Z29,10:12,,,,,Z01,10:16,
Z25,10:10,Z29,10:12,,,,,Z01,10:16,,,,,,,,,Z06,10:53,
,,,,,,,,Z06,10:53,West Coast Pier,11:30,West Coast Pier,11:30,West Coast Pier,11:30,Marina South Pier,11:30,Marina South Pier,11:30,
West Coast Pier,11:30,West Coast Pier,11:30,West Coast Pier,11:30,Marina South Pier,11:30,Marina South Pier,11:30,Z24,12:8,Z18,12:41,Z27,12:20,Z01,12:38,Z10,11:49,
Z24,12:8,Z18,12:41,Z27,12:20,Z01,12:38,Z10,11:49,,,Z21,12:55,Z26,12:32,Z04,13:0,Z05,12:10,
,,Z21,12:55,Z26,12:32,Z04,13:0,Z05,12:10,,,Z30,13:50,,,,,Z06,12:19,
,,Z30,13:50,,,,,Z06,12:19,,,,,,,,,,,
,,,,,,,,,,